"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"1","2695-P",92,1895.22981935274,"SAROV","Houston","California","Australia","National Pumpkin Festival","1914 C","1498 G",445,1740,10,"Yuxijiangbinggua",859.661084219847,"Heavy"
"2","2143-P",2,1810.8425440006,"CBFZR","Los Angeles","Texas","USA","Local Pumpkin Festival","1660 Y","1815 U",426,1610,11,"Naples Long",821.383691218318,"Heavy"
"3","2112-P",25,1797.83150147088,"NNPPT","Los Angeles","Florida","Australia","Regional Pumpkin Festival","1306 H","1078 D",428,1615,14,"Sugar Pie",815.481986415179,"Heavy"
"4","2548-P",99,1791.47585516423,"OZALG","New York","Texas","USA","Local Pumpkin Festival","1885 F","1518 C",440,1748,3,"Sugar Pie",812.599116095653,"Heavy"
"5","2571-P",3,1788.0618683286,"NASZQ","Paris","Florida","USA","Regional Pumpkin Festival","1358 F","1473 O",439,1651,6,"Sugar Pie",811.050558978907,"Heavy"
"6","2907-P",41,1775.49946466554,"QUYNF","Nottingham","New York","Australia","National Pumpkin Festival","1053 I","1224 Y",430,1570,9,"Long Pie",805.352353176571,"Heavy"
"7","2212-P",62,1748.35460998639,"UQVVB","Nottingham","New York","UK","National Pumpkin Festival","1509 A","1971 I",445,1697,4,"Sugar Pie",793.039664252949,"Heavy"
"8","2213-P",24,1744.5417081248,"CWTQM","Houston","Florida","USA","Local Pumpkin Festival","1800 A","1235 M",423,1521,18,"Long Pie",791.310162471745,"Heavy"
"9","2477-P",1,1734.27323564701,"PINVF","Chicago","Florida","USA","Regional Pumpkin Festival","1685 G","1849 G",424,1588,7,"Yuxijiangbinggua",786.652465503598,"Heavy"
"10","2733-P",59,1681.96781677846,"ZWTPY","Houston","Florida","Australia","National Pumpkin Festival","1351 Q","1819 M",426,1562,8,"Long Pie",762.927145948175,"Heavy"
"11","2852-P",63,1666.49665611237,"BMIGB","Los Angeles","Florida","UK","Local Pumpkin Festival","1356 G","1923 M",444,1726,-5,"Naples Long",755.909551239323,"Heavy"
"12","2162-P",48,1657.82411536295,"RXFCW","Houston","New York","Australia","Regional Pumpkin Festival","1124 I","1069 P",404,1419,14,"Sugar Pie",751.975756135711,"Heavy"
"13","2092-P",68,1659.18724563066,"NPJZW","Los Angeles","New York","UK","Regional Pumpkin Festival","1845 E","1590 F",421,1505,9,"Long Pie",752.594061120102,"Heavy"
